lr,batch_size,weight_decay,recon_loss_type,chamfer_weight,grad_clip,cls_weight,initialization_method,model_architecture,best_val_acc
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.5034965034965
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.5034965034965
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.32867132867133
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier,96.32867132867133
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,96.32867132867133
5e-05,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,96.32867132867133
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,96.32867132867133
5e-05,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.32867132867133
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.15384615384616
5e-05,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,96.15384615384616
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.15384615384616
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.15384615384616
0.0001,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,96.15384615384616
5e-05,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.97902097902097
0.0001,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,95.97902097902097
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.97902097902097
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.97902097902097
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.97902097902097
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.97902097902097
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.97902097902097
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.97902097902097
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.97902097902097
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.97902097902097
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,95.97902097902097
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.8041958041958
0.0001,64,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.8041958041958
5e-05,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier,95.8041958041958
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.8041958041958
5e-05,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.8041958041958
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,95.8041958041958
5e-05,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,95.8041958041958
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,95.8041958041958
5e-05,64,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.8041958041958
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.8041958041958
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.8041958041958
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.8041958041958
0.0001,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,95.8041958041958
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.8041958041958
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.8041958041958
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier,95.8041958041958
5e-05,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,95.62937062937063
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.62937062937063
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.62937062937063
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.62937062937063
0.0001,32,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,95.62937062937063
